city,admin_name,lat,lng,forecast_date,temperature_2m_max,temperature_2m_min,precipitation_sum,precipitation_probability_max,wind_speed_10m_max,wind_gusts_10m_max,weather_code
Aziylal,Béni Mellal-Khénifra,31.96,-6.56,2026-09-19,29.5,18.2,0.0,15,16.1,38.5,3
Aziylal,Béni Mellal-Khénifra,31.96,-6.56,2026-09-20,30.8,21.4,0.9,8,19.3,40.3,80
Aziylal,Béni Mellal-Khénifra,31.96,-6.56,2026-09-21,30.0,20.3,1.8,8,20.4,38.2,80
Azrou,Fès-Meknès,33.4344,-5.2213,2026-09-15,30.0,18.8,0.0,0,19.8,42.1,2
Azrou,Fès-Meknès,33.4344,-5.2213,2026-09-16,26.5,14.4,0.0,0,16.6,40.3,2
Azrou,Fès-Meknès,33.4344,-5.2213,2026-09-17,25.7,14.9,0.0,13,15.7,34.2,3
Azrou,Fès-Meknès,33.4344,-5.2213,2026-09-18,25.9,14.2,0.0,18,14.7,34.2,3
Azrou,Fès-Meknès,33.4344,-5.2213,2026-09-19,29.0,16.8,0.0,15,13.9,32.4,2
Azrou,Fès-Meknès,33.4344,-5.2213,2026-09-20,30.9,20.2,0.0,5,14.0,42.5,3
Azrou,Fès-Meknès,33.4344,-5.2213,2026-09-21,29.8,21.2,0.0,17,17.6,43.6,3
Aïn Harrouda,Casablanca-Settat,33.6372,-7.4483,2026-09-15,29.2,21.7,0.0,0,12.2,32.4,45
Aïn Harrouda,Casablanca-Settat,33.6372,-7.4483,2026-09-16,26.3,20.6,0.0,0,14.5,37.1,2
Aïn Harrouda,Casablanca-Settat,33.6372,-7.4483,2026-09-17,26.2,19.7,0.0,0,13.0,34.9,3
Aïn Harrouda,Casablanca-Settat,33.6372,-7.4483,2026-09-18,25.9,18.3,0.0,3,14.0,36.0,3
Aïn Harrouda,Casablanca-Settat,33.6372,-7.4483,2026-09-19,27.3,17.9,0.0,2,13.0,33.8,1
Aïn Harrouda,Casablanca-Settat,33.6372,-7.4483,2026-09-20,30.6,20.9,0.0,3,11.5,28.1,2
Aïn Harrouda,Casablanca-Settat,33.6372,-7.4483,2026-09-21,30.8,21.5,0.0,0,14.2,32.8,2
